Card Name,Lowest Price,URL
Crystal Fragments,$0.07,
"Dion, Bahamut's Dominant",$0.40,
"Jill, Shiva's Dominant",$0.20,
"Cecil, Dark Knight",$4.15,
"Sephiroth, Fabled SOLDIER",$35.00,
Sidequest: Hunt the Mark,$0.01,
Vincent Valentine,$0.49,
"Clive, Ifrit's Dominant",$2.50,
Esper Origins,$0.45,
"Joshua, Phoenix's Dominant",$1.04,
"Kefka, Court Mage",$3.93,
"Kuja, Genome Sorcerer",$1.00,
Serah Farron,$0.43,
"Terra, Magical Adept",$4.47,
"Balamb Garden, SeeD Academy",$0.15,
"Jidoor, Aristocratic Capital",$0.61,
"Lindblum, Industrial Regency",$1.25,
